,"Definition
How do you define this variable?","Source
Paste the link where you based your definition of the variable (see Lenses tab for definition of each Lens)","Lens
What lens is this variable related to?",,
Number of successful visits to patients' homes,,,,,
Gender of the patient,,,,,
Concern of privacy,,,,,
Demand for work,,,,,
Ability to pursue recreational activity alongside work,,,,,
Ability to successfully visit all patients planned,,,,,
Ability to take out time for personal growth,,,,,
Ability to plan patient visits,,,,,
Ability to manage time effectively,,,,,
Ability to plan route for field visits,,,,,
Access to patients' addresses,,,,,
Access to Nikshay application,,,,,
Visibility to new patients diagnosed daily,,,,,
Access to patient list,,,,,
Access to information about places to visit,,,,,
Access to task list,,,,,
Access to Commcare application,,,,,
Access to schedule of the workday,,,,,
Tendency to directly visit patient without consent,,,,,
Ability to seek patient's consent for visit,,,,,
Availability of phone with patients,,,,,
Tendency to call on registered phone number of patient,,,,,
Tendency to call health staff for support,,,,,
Ability of health staff to search for patient,,,,,
Availability of patient at their home,,,,,
Level of risk,,,,,
Fear of travelling far to visit patient without consent,,,,,
Knowledge about patient's whereabouts,,,,,
Likelihood of registered phone number to be of someone other than patient,,,,,
Ability to ensure patient's availability for visit,,,,,
Tendency to search for patient when in vicinity of their home,,,,,
Tendency to inform family members about patient's availability for next visit,,,,,
Tendency to inform Medical Officer about patient visits,,,,,
Level of responsibility of health staff to seek patient's consent for visit,,,,,
Level of support from health staff,,,,,
Level of achievement of targets,,,,,
Demand of justification for unsuccessful visit,,,,,
Demand for managing data,,,,,
Number of patients planned for visit,,,,,
Distance between homes of newly diagnosed patients,,,,,
Distance travelled for patient visits,,,,,
Connectivity of main roads,,,,,
Amount of time taken to cover long distances,,,,,
Development of housing localities,,,,,
Ability to locate patient's address,,,,,
Amount of time taken to search patient,,,,,
Neighbour's awareness about patient's location,,,,,
Alchohol seller's awareness about patient's location,,,,,
Level of friendship between patient and alcohol seller,,,,,
Ability to provide directions to patient's location,,,,,
Willingness of community members to support care coordinators,,,,,
Willingness to help patients with TB treatment,,,,,
Possibility of a festival celebration,,,,,
Adherence to treatment,,,,,
Search for alternative ways to making a living,,,,,
Loss of family assets,,,,,
"Household access to education
",,,,,
"Perception of strength
",,,,,
Distance of patient homes from the city,,,,,
Perception of scarcity,,,,,
Weight loss,,,,,
Time needed to recover,,,,,
Understanding patient's context,,,,,
"Ability to connect patients to available resources in their context
",,,,,
Access to medication,,,,,
"Ability of the care coordinator to deliver care
",,,,,
Collaboration among different healthcare providers,,,,,
Willingness to support patients,,,,,
Patients with multiple health complications,,,,,
Load on the healthcare provider,,,,,
"Visibility into adherence to treatment 
",,,,,
Ability to contact patients,,,,,
Visits to patient homes,,,,,
Confidence on ASHA workers to deliver TB medication,,,,,
Ability of ASHA workers to support patients,,,,,
Trust in TB treatment ,,,,,
Involvement of family members in TB treatment,,,,,
Support for patients with mental health conditions,,,,,
Health of care coordinator,,,,,
Informal female patient names,,,,,
Level of comfort in meeting the care coordinator at patient's home,,,,,
Level of trust,,,,,
Ability to reach out to patients soon after diagnosis,,,,,
Level of comfort in sharing personal information,,,,,
Location of patient homes in rural areas,,,,,
Location of patient homes in urban areas,,,,,
Ability to find patient homes without phone numbers ,,,,,
Patient renting a house,,,,,
Perceived value of a care coordinator’s job,,,,,
Detail of TB treatment education provided to the patient,,,,,
Sense of relief and happiness among the patients,,,,,
Ability to make the patient feel comfortable,,,,,
Adoption of manual adherence monitoring,,,,,
Level of trust in adherence data,,,,,
Perceived level of safety,,,,,
Collaboration with the ASHA workers,,,,,
Ability to complement medication with healthy lifestyle,,,,,
Likelihood of identifying incorrect medication regime,,,,,
Level of satisfaction from work,,,,,
Learning opportunities at work,,,,,
Level of patient’s understanding of treatment and medication protocols,,,,,
Loss of job,,,,,
Recovery of patients,,,,,
Support for patients with substance use,,,,,
Involvement of neighbours in the patient's treatment ,,,,,
Adherence to preventive medicine,,,,,
Perception of sickness,,,,,
Inaccurate information about TB treatment,,,,,
Selling alcohol as family business,,,,,
Loss of family business,,,,,
Myths about TB ,,,,,
Level of trust in the care coordinator,,,,,
Loss of social support,,,,,
Use of fear for treatment adherence,,,,,
Ability to talk to patient in private,,,,,
Perceived issues of domestic violence,,,,,
Perceived belief on black magic,,,,,
Challenges for unmarried women,,,,,
Intensity of body pain,,,,,
Perception of fear from TB,,,,,
Family history of TB,,,,,
Isolation from family members,,,,,
Recurrence of TB,,,,,
Visible blood while coughing,,,,,
Loss of appetite,,,,,
Sense of feel good,,,,,
Watching light hearted content,,,,,
Involvement of the informal and alternative medicine providers,,,,,
Level of trust in the informal and alternative medicine providers,,,,,
Availability of all services at the public healthcare facility ,,,,,
Changes in lifestyle and food habits,,,,,
Physical discomfort ,,,,,
Ability to make calls,,,,,
Breadwinner of the family sick with TB,,,,,
Level of workload on the family,,,,,
Misdiagnosis of TB,,,,,
Misdiagnosis of symptoms,,,,,
Ability to visit healthcare facility,,,,,
Visit to private healthcare facility,,,,,
Perception of being expensive,,,,,
Perception of skin becoming dark,,,,,
Ability to do physical hard work,,,,,
Effect of TB on the body,,,,,
Ability to go outside,,,,,
Level of sharing TB related concerns,,,,,
Female health related problems,,,,,
Level of fear,,,,,
Abiity to continue education,,,,,
Feeling of being a burden on family,,,,,
Government TB information channels,,,,,
Ability to ask questions and share concerns with the doctor,,,,,
Number of patients the doctor has to meet,,,,,
